break_out_category,break_out,data_value,data_value_type,data_value_unit,datasource,high_confidence_limit,locationabbr,locationdesc,low_confidence_limit,indicator,sample_size,year
Gender,Female,8.6,Percentage,%,HRQOL,10.2,NM,New Mexico,7.2,Diabetes,4027,2010
Gender,Male,8.7,Percentage,%,HRQOL,10.6,NM,New Mexico,7.1,Diabetes,2565,2010
Gender,Female,8.1,Percentage,%,HRQOL,9.4,NY,New York,7,Diabetes,5067,2010
Gender,Male,6.6,Percentage,%,HRQOL,8,NY,New York,5.3,Diabetes,3076,2010
Gender,Female,8.3,Percentage,%,HRQOL,9.8,NC,North Carolina,7,Diabetes,6645,2010
Gender,Male,6.7,Percentage,%,HRQOL,8.2,NC,North Carolina,5.4,Diabetes,3988,2010
Gender,Female,5,Percentage,%,HRQOL,6.2,ND,North Dakota,3.9,Diabetes,2715,2010
Gender,Male,3.8,Percentage,%,HRQOL,5.4,ND,North Dakota,2.6,Diabetes,1749,2010
Gender,Female,8.5,Percentage,%,HRQOL,9.7,OH,Ohio,7.3,Diabetes,5831,2010
Gender,Male,7.4,Percentage,%,HRQOL,9,OH,Ohio,5.9,Diabetes,3441,2010
Gender,Female,10.2,Percentage,%,HRQOL,11.6,OK,Oklahoma,8.9,Diabetes,4606,2010
Gender,Male,8.4,Percentage,%,HRQOL,10,OK,Oklahoma,7,Diabetes,2568,2010
Gender,Female,9.4,Percentage,%,HRQOL,11.2,OR,Oregon,7.8,Diabetes,2931,2010
Gender,Male,6.3,Percentage,%,HRQOL,8.1,OR,Oregon,4.8,Diabetes,1878,2010
Gender,Female,7.2,Percentage,%,HRQOL,8.2,PA,Pennsylvania,6.2,Diabetes,6455,2010
Gender,Male,7.6,Percentage,%,HRQOL,9.2,PA,Pennsylvania,6.2,Diabetes,3998,2010
Gender,Female,7.9,Percentage,%,HRQOL,9.3,RI,Rhode Island,6.6,Diabetes,4033,2010
Gender,Male,6.1,Percentage,%,HRQOL,7.9,RI,Rhode Island,4.6,Diabetes,2256,2010
Gender,Female,8.6,Percentage,%,HRQOL,10.3,SC,South Carolina,7.2,Diabetes,5271,2010
Gender,Male,7.9,Percentage,%,HRQOL,10.7,SC,South Carolina,5.7,Diabetes,3229,2010
Gender,Female,5.1,Percentage,%,HRQOL,6.4,SD,South Dakota,3.9,Diabetes,3878,2010
Gender,Male,3.9,Percentage,%,HRQOL,5.1,SD,South Dakota,2.8,Diabetes,2551,2010
Gender,Female,9.3,Percentage,%,HRQOL,10.9,TN,Tennessee,7.9,Diabetes,3792,2010
Gender,Male,9.2,Percentage,%,HRQOL,11.5,TN,Tennessee,7.2,Diabetes,1695,2010
Gender,Female,8.6,Percentage,%,HRQOL,10,TX,Texas,7.4,Diabetes,10508,2010
Gender,Male,6.1,Percentage,%,HRQOL,7.6,TX,Texas,4.8,Diabetes,5987,2010
Gender,Female,6.6,Percentage,%,HRQOL,7.9,UT,Utah,5.3,Diabetes,5505,2010
Gender,Male,5,Percentage,%,HRQOL,6.4,UT,Utah,3.8,Diabetes,3985,2010
Gender,Female,7.7,Percentage,%,HRQOL,9.1,VT,Vermont,6.4,Diabetes,3830,2010
Gender,Male,4.7,Percentage,%,HRQOL,6,VT,Vermont,3.5,Diabetes,2570,2010
Gender,Female,7.4,Percentage,%,HRQOL,7.6,US,Nationwide,7.1,Diabetes,250761,2007
Gender,Female,6.5,Percentage,%,HRQOL,8,VA,Virginia,5.1,Diabetes,3122,2010
Gender,Male,6.7,Percentage,%,HRQOL,11,VA,Virginia,3.9,Diabetes,1923,2010
Gender,Female,7.8,Percentage,%,HRQOL,8.8,WA,Washington,6.9,Diabetes,11226,2010
Gender,Male,6,Percentage,%,HRQOL,7.3,WA,Washington,5,Diabetes,7370,2010
Gender,Female,10.7,Percentage,%,HRQOL,12.5,WV,West Virginia,9,Diabetes,2633,2010
Gender,Male,10.6,Percentage,%,HRQOL,12.9,WV,West Virginia,8.7,Diabetes,1598,2010
Gender,Female,6.1,Percentage,%,HRQOL,7.6,WI,Wisconsin,4.8,Diabetes,2748,2010
Gender,Male,6.2,Percentage,%,HRQOL,8.3,WI,Wisconsin,4.4,Diabetes,1798,2010
Gender,Female,6.9,Percentage,%,HRQOL,8.3,WY,Wyoming,5.5,Diabetes,3325,2010
Gender,Male,6.6,Percentage,%,HRQOL,8.5,WY,Wyoming,5,Diabetes,2192,2010
Gender,Male,6.1,Percentage,%,HRQOL,6.4,US,Nationwide,5.8,Diabetes,150971,2007
Gender,Female,10.9,Percentage,%,HRQOL,12.6,AL,Alabama,9.3,Diabetes,4363,2009
Gender,Male,9.5,Percentage,%,HRQOL,11.7,AL,Alabama,7.6,Diabetes,1992,2009
Gender,Female,6.4,Percentage,%,HRQOL,8.8,AK,Alaska,4.4,Diabetes,1174,2009
Gender,Male,3.5,Percentage,%,HRQOL,5.2,AK,Alaska,2.2,Diabetes,968,2009
Gender,Female,7.2,Percentage,%,HRQOL,9,AZ,Arizona,5.6,Diabetes,3239,2009
Gender,Male,5.5,Percentage,%,HRQOL,7.4,AZ,Arizona,3.9,Diabetes,1997,2009
Gender,Female,8.4,Percentage,%,HRQOL,10.5,AR,Arkansas,6.7,Diabetes,2421,2009
Gender,Male,7.9,Percentage,%,HRQOL,10.1,AR,Arkansas,6,Diabetes,1310,2009
Gender,Female,8.4,Percentage,%,HRQOL,9.4,CA,California,7.4,Diabetes,10340,2009
Gender,Male,6.6,Percentage,%,HRQOL,7.7,CA,California,5.6,Diabetes,6840,2009
Gender,Female,6.1,Percentage,%,HRQOL,7.3,CO,Colorado,5.1,Diabetes,6798,2009
Gender,Male,4.8,Percentage,%,HRQOL,6.2,CO,Colorado,3.6,Diabetes,4474,2009
Gender,Female,6.3,Percentage,%,HRQOL,7.8,CT,Connecticut,5,Diabetes,3740,2009
Gender,Male,4.9,Percentage,%,HRQOL,6.6,CT,Connecticut,3.5,Diabetes,2392,2009
Gender,Female,6.5,Percentage,%,HRQOL,8.2,DE,Delaware,4.9,Diabetes,2637,2009
Gender,Male,5.3,Percentage,%,HRQOL,7.1,DE,Delaware,3.9,Diabetes,1561,2009
Gender,Female,4.8,Percentage,%,HRQOL,6.2,DC,District of Columbia,3.7,Diabetes,2212,2009
Gender,Male,4.7,Percentage,%,HRQOL,6.5,DC,District of Columbia,3.3,Diabetes,1428,2009
Gender,Female,8.8,Percentage,%,HRQOL,10.4,FL,Florida,7.3,Diabetes,6947,2009
Gender,Male,6.5,Percentage,%,HRQOL,8.1,FL,Florida,5.1,Diabetes,4304,2009
Gender,Female,6.4,Percentage,%,HRQOL,7.8,GA,Georgia,5.2,Diabetes,3533,2009
Gender,Male,5,Percentage,%,HRQOL,6.6,GA,Georgia,3.7,Diabetes,1982,2009
Gender,Female,5.4,Percentage,%,HRQOL,6.7,HI,Hawaii,4.2,Diabetes,3791,2009
Gender,Male,4.7,Percentage,%,HRQOL,6,HI,Hawaii,3.5,Diabetes,2721,2009
Gender,Female,9,Percentage,%,HRQOL,10.7,ID,Idaho,7.5,Diabetes,3090,2009
Gender,Male,5.9,Percentage,%,HRQOL,7.6,ID,Idaho,4.4,Diabetes,2039,2009
Gender,Female,7.3,Percentage,%,HRQOL,8.8,IL,Illinois,6.1,Diabetes,3568,2009
Gender,Male,5.5,Percentage,%,HRQOL,7.1,IL,Illinois,4.1,Diabetes,2189,2009
Gender,Female,7.5,Percentage,%,HRQOL,8.7,IN,Indiana,6.4,Diabetes,5446,2009
Gender,Male,6.6,Percentage,%,HRQOL,8.1,IN,Indiana,5.2,Diabetes,3309,2009
Gender,Female,5.1,Percentage,%,HRQOL,6.2,IA,Iowa,4,Diabetes,3505,2009
Gender,Male,4.9,Percentage,%,HRQOL,6.3,IA,Iowa,3.6,Diabetes,2263,2009
Gender,Female,5.9,Percentage,%,HRQOL,6.7,KS,Kansas,5.1,Diabetes,11236,2009
Gender,Male,5,Percentage,%,HRQOL,6,KS,Kansas,4.1,Diabetes,7039,2009
Gender,Female,10.8,Percentage,%,HRQOL,12.4,KY,Kentucky,9.3,Diabetes,6303,2009
Gender,Male,11.6,Percentage,%,HRQOL,13.9,KY,Kentucky,9.5,Diabetes,2735,2009
Gender,Female,10.1,Percentage,%,HRQOL,11.4,LA,Louisiana,8.9,Diabetes,5656,2009
Gender,Male,7.4,Percentage,%,HRQOL,9,LA,Louisiana,6,Diabetes,2870,2009
Gender,Female,8.1,Percentage,%,HRQOL,9.3,ME,Maine,6.9,Diabetes,4735,2009
Gender,Male,6.2,Percentage,%,HRQOL,7.5,ME,Maine,5,Diabetes,2922,2009
Gender,Female,6.5,Percentage,%,HRQOL,7.8,MD,Maryland,5.3,Diabetes,5047,2009
Gender,Male,5.5,Percentage,%,HRQOL,7,MD,Maryland,4.3,Diabetes,3026,2009
Gender,Female,6.6,Percentage,%,HRQOL,7.8,MA,Massachusetts,5.5,Diabetes,9850,2009
Gender,Male,5.7,Percentage,%,HRQOL,6.9,MA,Massachusetts,4.6,Diabetes,5859,2009
Gender,Female,7.5,Percentage,%,HRQOL,8.8,MI,Michigan,6.3,Diabetes,5384,2009
Gender,Male,5.7,Percentage,%,HRQOL,7.2,MI,Michigan,4.4,Diabetes,3333,2009
Gender,Female,6.7,Percentage,%,HRQOL,8.2,MN,Minnesota,5.3,Diabetes,3456,2009
Gender,Male,3.8,Percentage,%,HRQOL,5.1,MN,Minnesota,2.7,Diabetes,2071,2009
Gender,Female,9.9,Percentage,%,HRQOL,11.2,MS,Mississippi,8.7,Diabetes,6923,2009
Gender,Male,8.4,Percentage,%,HRQOL,10.1,MS,Mississippi,6.9,Diabetes,3645,2009
Gender,Female,8.7,Percentage,%,HRQOL,10.6,MO,Missouri,7.1,Diabetes,3012,2009
Gender,Male,7.3,Percentage,%,HRQOL,9.4,MO,Missouri,5.5,Diabetes,1876,2009
Gender,Female,6.8,Percentage,%,HRQOL,8.1,MT,Montana,5.6,Diabetes,4241,2009
Gender,Male,6.8,Percentage,%,HRQOL,8.3,MT,Montana,5.4,Diabetes,3100,2009
Gender,Female,7.9,Percentage,%,HRQOL,8.4,US,Nationwide,7.4,Diabetes,248928,2009
Gender,Male,6.1,Percentage,%,HRQOL,6.7,US,Nationwide,5.6,Diabetes,153807,2009
Gender,Female,5.7,Percentage,%,HRQOL,7.2,NE,Nebraska,4.4,Diabetes,9350,2009
Gender,Male,4.2,Percentage,%,HRQOL,5.3,NE,Nebraska,3.1,Diabetes,6027,2009
Gender,Female,8,Percentage,%,HRQOL,10.1,NV,Nevada,6.2,Diabetes,2204,2009
Gender,Male,7.5,Percentage,%,HRQOL,10.3,NV,Nevada,5.2,Diabetes,1462,2009
Gender,Female,6,Percentage,%,HRQOL,7.4,NH,New Hampshire,4.8,Diabetes,3494,2009
Gender,Male,6.2,Percentage,%,HRQOL,8,NH,New Hampshire,4.7,Diabetes,2254,2009
Gender,Female,6.4,Percentage,%,HRQOL,7.5,NJ,New Jersey,5.4,Diabetes,7196,2009
Gender,Male,5.1,Percentage,%,HRQOL,6.4,NJ,New Jersey,3.9,Diabetes,4294,2009
Gender,Female,7.6,Percentage,%,HRQOL,8.8,NM,New Mexico,6.4,Diabetes,5122,2009
Gender,Male,6.7,Percentage,%,HRQOL,8.5,NM,New Mexico,5.1,Diabetes,3266,2009
Gender,Female,7.8,Percentage,%,HRQOL,9.2,NY,New York,6.5,Diabetes,3935,2009
Gender,Male,5.3,Percentage,%,HRQOL,6.9,NY,New York,4,Diabetes,2465,2009
Gender,Female,8.5,Percentage,%,HRQOL,10,NC,North Carolina,7.1,Diabetes,7666,2009
Gender,Male,6.4,Percentage,%,HRQOL,8,NC,North Carolina,5,Diabetes,4659,2009
Gender,Female,4.8,Percentage,%,HRQOL,6.4,ND,North Dakota,3.5,Diabetes,2711,2009
Gender,Male,4.6,Percentage,%,HRQOL,6.1,ND,North Dakota,3.3,Diabetes,1804,2009
Gender,Female,9,Percentage,%,HRQOL,10.5,OH,Ohio,7.6,Diabetes,5771,2009
Gender,Male,6.9,Percentage,%,HRQOL,8.5,OH,Ohio,5.6,Diabetes,3588,2009
Gender,Female,9.8,Percentage,%,HRQOL,11.2,OK,Oklahoma,8.5,Diabetes,4694,2009
Gender,Male,8.5,Percentage,%,HRQOL,10.2,OK,Oklahoma,7,Diabetes,2621,2009
Gender,Female,6.9,Percentage,%,HRQOL,8.7,OR,Oregon,5.4,Diabetes,2465,2009
Gender,Male,5.7,Percentage,%,HRQOL,7.6,OR,Oregon,4.1,Diabetes,1634,2009
Gender,Female,7.8,Percentage,%,HRQOL,9.2,PA,Pennsylvania,6.5,Diabetes,5323,2009
Gender,Male,6.1,Percentage,%,HRQOL,7.7,PA,Pennsylvania,4.8,Diabetes,3313,2009
Gender,Female,7.7,Percentage,%,HRQOL,9.4,RI,Rhode Island,6.3,Diabetes,3795,2009
Gender,Male,7,Percentage,%,HRQOL,9,RI,Rhode Island,5.3,Diabetes,2208,2009
Gender,Female,8.7,Percentage,%,HRQOL,10.2,SC,South Carolina,7.3,Diabetes,5491,2009
Gender,Male,6.7,Percentage,%,HRQOL,8.4,SC,South Carolina,5.2,Diabetes,3452,2009
Gender,Female,5,Percentage,%,HRQOL,6.3,SD,South Dakota,3.8,Diabetes,4068,2009
Gender,Male,3.7,Percentage,%,HRQOL,4.9,SD,South Dakota,2.7,Diabetes,2541,2009
Gender,Female,10.9,Percentage,%,HRQOL,12.6,TN,Tennessee,9.4,Diabetes,3676,2009
Gender,Male,8.6,Percentage,%,HRQOL,10.9,TN,Tennessee,6.6,Diabetes,1687,2009
Gender,Female,8.5,Percentage,%,HRQOL,10,TX,Texas,7.1,Diabetes,6967,2009
Gender,Male,5.5,Percentage,%,HRQOL,7.2,TX,Texas,4.1,Diabetes,3915,2009
Gender,Female,6.3,Percentage,%,HRQOL,7.4,UT,Utah,5.3,Diabetes,5292,2009
Gender,Male,4.4,Percentage,%,HRQOL,5.7,UT,Utah,3.3,Diabetes,4054,2009
Gender,Female,6.2,Percentage,%,HRQOL,7.4,VT,Vermont,5.1,Diabetes,3789,2009
Gender,Male,5.3,Percentage,%,HRQOL,6.7,VT,Vermont,4.1,Diabetes,2539,2009
Gender,Female,6.6,Percentage,%,HRQOL,8.1,VA,Virginia,5.2,Diabetes,2883,2009
Gender,Male,5.5,Percentage,%,HRQOL,8.2,VA,Virginia,3.6,Diabetes,1958,2009
Gender,Female,7.7,Percentage,%,HRQOL,8.7,WA,Washington,6.8,Diabetes,11585,2009
Gender,Male,6.1,Percentage,%,HRQOL,7.1,WA,Washington,5.1,Diabetes,7782,2009
Gender,Female,9.9,Percentage,%,HRQOL,11.5,WV,West Virginia,8.4,Diabetes,2870,2009
Gender,Male,9.7,Percentage,%,HRQOL,11.7,WV,West Virginia,8,Diabetes,1794,2009
Gender,Female,6.1,Percentage,%,HRQOL,7.8,WI,Wisconsin,4.7,Diabetes,2480,2009
Gender,Male,4.6,Percentage,%,HRQOL,6.4,WI,Wisconsin,3.2,Diabetes,1911,2009
Gender,Female,7.2,Percentage,%,HRQOL,8.7,WY,Wyoming,5.8,Diabetes,3454,2009
Gender,Male,5.5,Percentage,%,HRQOL,7.3,WY,Wyoming,4,Diabetes,2334,2009
Gender,Female,9.4,Percentage,%,HRQOL,10.6,AL,Alabama,8.3,Diabetes,4105,2008
Gender,Male,7.8,Percentage,%,HRQOL,9.4,AL,Alabama,6.2,Diabetes,1986,2008
Gender,Female,7.7,Percentage,%,HRQOL,10.7,AK,Alaska,4.7,Diabetes,1121,2008
Gender,Male,5.9,Percentage,%,HRQOL,8.5,AK,Alaska,3.3,Diabetes,983,2008
Gender,Female,7.6,Percentage,%,HRQOL,9.2,AZ,Arizona,5.9,Diabetes,3686,2008
Gender,Male,7.1,Percentage,%,HRQOL,9,AZ,Arizona,5.2,Diabetes,2167,2008
Gender,Female,9.6,Percentage,%,HRQOL,11.2,AR,Arkansas,7.9,Diabetes,3365,2008
Gender,Male,7.5,Percentage,%,HRQOL,8.9,AR,Arkansas,6,Diabetes,1978,2008
Gender,Female,8.2,Percentage,%,HRQOL,9.1,CA,California,7.3,Diabetes,6924,2008
Gender,Male,7.9,Percentage,%,HRQOL,9.2,CA,California,6.6,Diabetes,4477,2008
Gender,Female,7.1,Percentage,%,HRQOL,7.9,CO,Colorado,6.2,Diabetes,6330,2008
Gender,Male,5.1,Percentage,%,HRQOL,6,CO,Colorado,4.2,Diabetes,4193,2008
Gender,Female,5.2,Percentage,%,HRQOL,6.2,CT,Connecticut,4.3,Diabetes,3580,2008
Gender,Male,4.7,Percentage,%,HRQOL,5.9,CT,Connecticut,3.4,Diabetes,2216,2008
Gender,Female,7.7,Percentage,%,HRQOL,9.2,DE,Delaware,6.3,Diabetes,2485,2008
Gender,Male,5.2,Percentage,%,HRQOL,6.9,DE,Delaware,3.6,Diabetes,1404,2008
Gender,Female,5.5,Percentage,%,HRQOL,6.7,DC,District of Columbia,4.4,Diabetes,2495,2008
Gender,Male,3.3,Percentage,%,HRQOL,4.5,DC,District of Columbia,2,Diabetes,1470,2008
Gender,Female,7.7,Percentage,%,HRQOL,8.8,FL,Florida,6.5,Diabetes,6470,2008
Gender,Male,6.9,Percentage,%,HRQOL,8.4,FL,Florida,5.4,Diabetes,3797,2008
Gender,Female,7.6,Percentage,%,HRQOL,8.8,GA,Georgia,6.3,Diabetes,3482,2008
Gender,Male,6.7,Percentage,%,HRQOL,8.5,GA,Georgia,5,Diabetes,1937,2008
Gender,Female,6.2,Percentage,%,HRQOL,7.5,HI,Hawaii,5,Diabetes,3699,2008
Gender,Male,4.9,Percentage,%,HRQOL,6,HI,Hawaii,3.7,Diabetes,2556,2008
Gender,Female,7.2,Percentage,%,HRQOL,8.4,ID,Idaho,6,Diabetes,2974,2008
Gender,Male,5.2,Percentage,%,HRQOL,6.4,ID,Idaho,4,Diabetes,1906,2008
Gender,Female,6.8,Percentage,%,HRQOL,7.9,IL,Illinois,5.7,Diabetes,3230,2008
Gender,Male,5.2,Percentage,%,HRQOL,6.5,IL,Illinois,3.9,Diabetes,1798,2008
Gender,Female,7.4,Percentage,%,HRQOL,8.8,IN,Indiana,6,Diabetes,2909,2008
Gender,Male,5.8,Percentage,%,HRQOL,7.3,IN,Indiana,4.3,Diabetes,1730,2008
Gender,Female,5.3,Percentage,%,HRQOL,6.2,IA,Iowa,4.4,Diabetes,3501,2008
Gender,Male,4.9,Percentage,%,HRQOL,5.9,IA,Iowa,3.9,Diabetes,2212,2008
Gender,Female,6.5,Percentage,%,HRQOL,7.4,KS,Kansas,5.6,Diabetes,5101,2008
Gender,Male,3.8,Percentage,%,HRQOL,4.5,KS,Kansas,3,Diabetes,3168,2008
Gender,Female,10.9,Percentage,%,HRQOL,12.1,KY,Kentucky,9.6,Diabetes,5265,2008
Gender,Male,9.3,Percentage,%,HRQOL,10.7,KY,Kentucky,7.8,Diabetes,2528,2008
Gender,Female,8.1,Percentage,%,HRQOL,9.2,LA,Louisiana,7,Diabetes,3907,2008
Gender,Male,5.6,Percentage,%,HRQOL,6.7,LA,Louisiana,4.4,Diabetes,1952,2008
Gender,Female,6.8,Percentage,%,HRQOL,7.8,ME,Maine,5.8,Diabetes,3948,2008
Gender,Male,7.6,Percentage,%,HRQOL,8.9,ME,Maine,6.3,Diabetes,2571,2008
Gender,Female,6.5,Percentage,%,HRQOL,7.5,MD,Maryland,5.4,Diabetes,5726,2008
Gender,Male,5.1,Percentage,%,HRQOL,6.1,MD,Maryland,4,Diabetes,3330,2008
Gender,Female,6.4,Percentage,%,HRQOL,7.1,MA,Massachusetts,5.7,Diabetes,12329,2008
Gender,Male,5.7,Percentage,%,HRQOL,6.5,MA,Massachusetts,4.8,Diabetes,7161,2008
Gender,Female,7.6,Percentage,%,HRQOL,7.8,US,Nationwide,7.3,Diabetes,240193,2008
Gender,Female,7.6,Percentage,%,HRQOL,8.5,MI,Michigan,6.7,Diabetes,5655,2008
Gender,Male,6.2,Percentage,%,HRQOL,7.2,MI,Michigan,5.1,Diabetes,3306,2008
Gender,Female,6.8,Percentage,%,HRQOL,8.1,MN,Minnesota,5.6,Diabetes,2613,2008
Gender,Male,3.9,Percentage,%,HRQOL,4.9,MN,Minnesota,2.8,Diabetes,1585,2008
Gender,Female,10.3,Percentage,%,HRQOL,11.5,MS,Mississippi,9.1,Diabetes,4910,2008
Gender,Male,7.6,Percentage,%,HRQOL,8.9,MS,Mississippi,6.3,Diabetes,2535,2008
Gender,Female,8.3,Percentage,%,HRQOL,9.5,MO,Missouri,7,Diabetes,3049,2008
Gender,Male,6.5,Percentage,%,HRQOL,8,MO,Missouri,5,Diabetes,1849,2008
Gender,Male,6.4,Percentage,%,HRQOL,6.7,US,Nationwide,6.1,Diabetes,145873,2008
Gender,Female,7.8,Percentage,%,HRQOL,9.1,MT,Montana,6.5,Diabetes,3897,2008
Gender,Male,5.5,Percentage,%,HRQOL,6.6,MT,Montana,4.4,Diabetes,2610,2008
Gender,Female,5.1,Percentage,%,HRQOL,5.9,NE,Nebraska,4.3,Diabetes,9664,2008
